id,tweet,coordinates
2306,It's in NYC so....#WinNYCFC https://t.co/0hiVn6bk8i,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
3972,First NYC Derby this weekend on Sunday come on you blues #WINNYCFC #CTID,"Polygon((-0.259465 51.417277, -0.127974 51.417277, -0.127974 51.486036, -0.259465 51.486036, -0.259465 51.417277))"
4361,I think I may need to have a sit-down with @Pirlo_official to discuss #WINNYCFC @BrownBagSC Just two Andrea's getting together.,"Polygon((-73.962582 40.541722, -73.699793 40.541722, -73.699793 40.8000371, -73.962582 40.8000371, -73.962582 40.541722))"
4247,cant wait for the #NYCFC  hudson derby!!!  #WINNYCFC,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
2191,@NewYorkRedBulls @MLS @EmpireStateBldg red or blue ? anyway Is New York #WINRBNY #WINNYCFC,"Polygon((-66.3379563 18.0581348, -66.307562 18.0581348, -66.307562 18.087838, -66.3379563 18.087838, -66.3379563 18.0581348))"
2434,Better recognize!  #NYCFC #WinNYCFC https://t.co/Nh1Lcd0js7,"Polygon((-73.962582 40.541722, -73.699793 40.541722, -73.699793 40.8000371, -73.962582 40.8000371, -73.962582 40.541722))"
2830,"Still calling Atlanta United ""ATLiens FC"" #WINNYCFC","Polygon((-73.78995 40.982445, -73.719524 40.982445, -73.719524 41.069964, -73.78995 41.069964, -73.78995 40.982445))"
1295,The beloved @NYCFC is here @KSFilmFest as well...oh and yes with some team from Jersey #WINNYCFC,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
4755,He's gonna help us #WINNYCFC too https://t.co/OJWWmFUir7,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1687,Just for kicks...#WINNYCFC,"Polygon((-73.933612 40.785365, -73.765271 40.785365, -73.765271 40.91533, -73.933612 40.91533, -73.933612 40.785365))"
3353,"So, @TheAndresSoto, what are YOU up to? 😏 #WINNYCFC","Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
3738,@sonix3nycfc very true #WinNYCFC,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1693,@khiryshelton14 is a #SupportiveTeammate @MixDiskerud #MixLid @u90soccer #NYCFC #WINNYCFC  https://t.co/YNkWjQEPpD,"Polygon((-73.962582 40.541722, -73.699793 40.541722, -73.699793 40.8000371, -73.962582 40.8000371, -73.962582 40.541722))"
1182,"The Clash this Sunday June 28, 2015. #NYCFC vs #NYRB #WinNYCFC #MLS #Futbol @ Amtrak - Boston To New… https://t.co/XapNMcXZLh","Polygon((-71.191505 42.227797, -70.986004 42.227797, -70.986004 42.399542, -71.191505 42.399542, -71.191505 42.227797))"
543,@Leftoutside15 going to leave this here #WINNYCFC http://t.co/lDNanB28sn,"Polygon((-73.526142 40.640135, -73.493782 40.640135, -73.493782 40.693835, -73.526142 40.693835, -73.526142 40.640135))"
1058,Harlem 🙌🏽 #WinNYCFC http://t.co/L9gVN7BkIA,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
2083,"Let's get Yankee Stadium rocking on Sunday at 5pm #WINNYCFC #NYCFC 
Tickets available at #NellySpillanes on Friday during all live Soccer.","Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
552,"Just got a ""congrats"" message from Twitter saying that I have over 100 followers. Never thought I'd ever get there. A bit stunned. #WINNYCFC","Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
2474,I need you to #WinNYCFC,"Polygon((-73.933612 40.785365, -73.765271 40.785365, -73.765271 40.91533, -73.933612 40.91533, -73.933612 40.785365))"
2098,"@6thBoroughBlues You made my day with that link! My uncle's planning to head back there for holiday, I need to go with him! #WINNYCFC","Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
1072,Leaving class early because I'd rather eat glass than sit here a minute longer. #bye #WINNYCFC,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
