id,tweet,coordinates
768,"""In an important moment we put a lot of young guys on the field and they came through for us.""

@jessemarsch #NYvRSL #RBNY #WINRBNY","Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1024,Three points for #WinRBNY or annoying Mr. Heineken will give you your money back. #RBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1284,"Nice to meet @slystets in person! Now, let's get 3 points! #WinRBNY #RBNY #NYisRED #NYvRSL","Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
773,Upcoming. #USOC2015 #WinRBNY http://t.co/MryxfLw7qd,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
903,. @MikeGrella10 mean mugs. #RBNY #WINRBNY #LUFC http://t.co/yePvROC3WU,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
2583,@EF1234_1 It's #WINRBNY!,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
905,How did that ball not go in on the first try? Smh #RedBulls #RBNY #RunWithUs #WINRBNY #NYvRSL ⚽️🗽❤️,"Polygon((-95.823268 29.522325, -95.069705 29.522325, -95.069705 30.1546646, -95.823268 30.1546646, -95.823268 29.522325))"
906,Grella and Zizzo on the field at the same time. A first? #NYvRSL #WinRBNY #RBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
2443,Tonight's hashtag is #WinRBNY,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1492,It's about time I jumped on the best bandwagon #WinRBNY #WINRED #NYisRED,"Polygon((-5.3095906 50.1965269, -5.3001957 50.1965269, -5.3001957 50.2012681, -5.3095906 50.2012681, -5.3095906 50.1965269))"
909,So much frustration in the arena. #WINRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1167,Abang: strong and fast. ✔️ #WinRBNY #RBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
272,We are red and rad. #WinRBNY,"Polygon((-73.871015 40.850181, -73.8264239 40.850181, -73.8264239 40.8618699, -73.871015 40.8618699, -73.871015 40.850181))"
1262,#WinRBNY ...tonight. #RBNY @ Red Bull Arena https://t.co/xfEQBKiE4b,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
2432,Blue team supporter in a red NY? #WinRBNY #NYisRED  https://t.co/9u3Wl2uTEp,"Polygon((-75.280284 39.871811, -74.955712 39.871811, -74.955712 40.13792, -75.280284 40.13792, -75.280284 39.871811))"
915,It's a good thing #RSL only has 9 players. #RBNY Is playing like they have 11. #WINRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1300,View from behind @RBA_SouthWard #WINRBNY #NYvRSL http://t.co/zpxrrfnBLz,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1134,"It's a lovely evening, and we're already up a goal. I'll take it. #WINRBNY #NYvRSL","Polygon((-74.1503334045 40.736852148, -74.1503334045 40.736852148, -74.1503334045 40.736852148, -74.1503334045 40.736852148, -74.1503334045 40.736852148))"
791,Extremely impressive win with a b+ lineup #WinRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
2586,#WinRBNY Go Red Bulls!!!,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
2643,#winRBNY please share!,"Polygon((12.110491 51.7335765, 12.351643 51.7335765, 12.351643 51.9707069, 12.110491 51.9707069, 12.110491 51.7335765))"
796,#RBNY thank supporters after 1-0 win #NYvRSL #WinRBNY http://t.co/v3E8WiLwkP,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1710,"#WINRBNY #RBNY (@ Red Bull Arena in Harrison, NJ) https://t.co/vttKUR3GT0 http://t.co/QFLYo6TMIR","Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1054,Morales took @FeliMartins23 down from behind. That's a red card #NYvRSL #WINRBNY #RBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1669,#WinRBNY tonight &amp; Sunday,"Polygon((-93.12832 34.434369, -92.914247 34.434369, -92.914247 34.538694, -93.12832 34.538694, -93.12832 34.434369))"
2699,NYCFC may have greater social media presence but my pride &amp; persistence is insurmountable. You better #WinRBNY!!!,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
1317,"Walked by parking in MetroStars jersey, parking attendant asked which club I am for. He did not know the old club ID. #WINRBNY","Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1062,@AttitudeAJM you don't like #RBNY? #WinRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1703,Ever heard of rolling out the blue carpet for a special occasion? Neither have I. #WINRBNY #RBNY #NYisRED http://t.co/ZpGuZRBAgG,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
939,Remainder of #NYvRSL should play like a hockey power play. Same ratio. #WinRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
812,It shouldn't have been this hard. #WinRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1581,Every minute I spend outside now is just a constant hunt for @Pirlo_official #WinRBNY,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1070,"I recall my last tweet as I was still traumatized by the Whitecaps. It's Adios, Javier! #WINRBNY","Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
1200,So glad to have Taxi back. #WINRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
945,#RBNY should keep the ball on the ground. #RSL can't cover everyone 2 men down. #NYvRSL #WinRBNY,"Polygon((-74.165221 40.734214, -74.138181 40.734214, -74.138181 40.75402, -74.165221 40.75402, -74.165221 40.734214))"
